index,dummy,decision_tree,kNN,SVM,logistic_regression
fit_time,0.002 (+/- 0.000),0.003 (+/- 0.000),0.004 (+/- 0.001),0.007 (+/- 0.005),0.005 (+/- 0.003)
score_time,0.003 (+/- 0.000),0.003 (+/- 0.000),0.011 (+/- 0.007),0.004 (+/- 0.000),0.004 (+/- 0.002)
test_accuracy,0.532 (+/- 0.003),0.760 (+/- 0.057),0.819 (+/- 0.028),0.854 (+/- 0.015),0.850 (+/- 0.024)
train_accuracy,0.532 (+/- 0.001),1.000 (+/- 0.000),0.884 (+/- 0.006),0.905 (+/- 0.002),0.864 (+/- 0.006)
test_precision,0.000 (+/- 0.000),0.745 (+/- 0.062),0.804 (+/- 0.040),0.837 (+/- 0.027),0.833 (+/- 0.029)
train_precision,0.000 (+/- 0.000),1.000 (+/- 0.000),0.871 (+/- 0.009),0.899 (+/- 0.008),0.854 (+/- 0.003)
test_recall,0.000 (+/- 0.000),0.742 (+/- 0.070),0.812 (+/- 0.036),0.854 (+/- 0.000),0.850 (+/- 0.023)
train_recall,0.000 (+/- 0.000),1.000 (+/- 0.000),0.882 (+/- 0.009),0.899 (+/- 0.009),0.856 (+/- 0.014)
test_f1,0.000 (+/- 0.000),0.743 (+/- 0.063),0.808 (+/- 0.029),0.846 (+/- 0.014),0.841 (+/- 0.025)
train_f1,0.000 (+/- 0.000),1.000 (+/- 0.000),0.876 (+/- 0.007),0.899 (+/- 0.002),0.855 (+/- 0.007)
